pull_request_id,pull_request_number,pull_request_user_id,pull_request_created_at,pull_request_title,pull_request_commits,pull_request_checks,pull_request_files_changed,pull_request_lines_changed,comment_id,comment_created_at,comment_text,comment_author,comment_parent_id
280584046,2271,amc-nu,2019-05-21T00:25:49Z,CUDA CMake detection logic update,60,0,13,91,287204638,2019-05-24T03:28:33Z,"""Set the env var AUTOWARE_COMPILE_WITH_CUDA=1"" -> ""Set the AUTOWARE_COMPILE_WITH_CUDA environment variable""",gbiggs,
280584046,2271,amc-nu,2019-05-21T00:25:49Z,CUDA CMake detection logic update,60,0,13,91,287205263,2019-05-24T03:33:35Z,done!,amc-nu,287204638
279383811,2265,amc-nu,2019-05-16T07:42:56Z,Melodic CPU/GPU compilation flag,42,1,12,146,284920344,2019-05-16T22:23:15Z,Where else is `CPU_ONLY` used? The logic would read better if it were `ENABLE_CUDA` (i.e. reverse the logic).,gbiggs,
279383811,2265,amc-nu,2019-05-16T07:42:56Z,Melodic CPU/GPU compilation flag,42,1,12,146,284920886,2019-05-16T22:25:48Z,"If you change the flag name, this message will also need to change to ""CUDA support is disabled. Use -DENABLE_CUDA=TRUE and install CMake >= 3.12.3 and Eigen >= 3.3.6 to enable it.""",gbiggs,
279383811,2265,amc-nu,2019-05-16T07:42:56Z,Melodic CPU/GPU compilation flag,42,1,12,146,284921511,2019-05-16T22:28:24Z,You could make a couple of macros for this (one for just the CMake check and one that has both CMake and Eigen checks) and put them in the `autoware_build_flags-extras.cmake` file.,gbiggs,
279383811,2265,amc-nu,2019-05-16T07:42:56Z,Melodic CPU/GPU compilation flag,42,1,12,146,284934132,2019-05-16T23:29:31Z,got it. pushing once I finish testing locally.,amc-nu,284920344
279383811,2265,amc-nu,2019-05-16T07:42:56Z,Melodic CPU/GPU compilation flag,42,1,12,146,284934227,2019-05-16T23:30:01Z,Thanks to #2267 We'll just ask for Eigen,amc-nu,284920886
279383811,2265,amc-nu,2019-05-16T07:42:56Z,Melodic CPU/GPU compilation flag,42,1,12,146,285403207,2019-05-19T23:47:06Z,"Only search for CUDA if the user has explicitly enabled it. i.e. something like:

    USE_CUDA=FALSE
    if(ENABLE_CUDA)
      if (""$ENV{ROS_DISTRO}"" STREQUAL ""melodic"")
        find_package(CUDA REQUIRED)
        if (${CUDA_VERSION} etc. etc.)
          USE_CUDA=TRUE
        endif()
      else()
        message(FATAL ""CUDA support requires ROS Melodic or greater"")
      endif()
    else()
      message(STATUS ""CUDA support is disabled. Use -DENABLE_CUDA=TRUE and install Eigen >= 3.3.7 to enable it"")
    endif()

Then you can also just do a check on `USE_CUDA` rather than needing to check both `ENABLE_CUDA` and `CUDA_FOUND` elsewhere.",gbiggs,
279383811,2265,amc-nu,2019-05-16T07:42:56Z,Melodic CPU/GPU compilation flag,42,1,12,146,285508672,2019-05-20T09:46:08Z,"got it, preparing a new PR",amc-nu,285403207
279195951,2262,sgvandijk,2019-05-15T17:35:18Z,Add tests around Openplanner utilities,3,0,4,235,284522851,2019-05-16T02:56:53Z,Please do fixes like this in a separate PR so we can review them separately.,gbiggs,
