Title,Discussion ID,Created At,User ID,Comment Count,Answered/Unanswered,Comment ID,Comment Author,Comment Text
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,,,
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AHFoI,mitsudome-r,"Here's the meeting minutes from the discussion we had today.
https://docs.google.com/document/d/1_4VbWuIiRXWsc_u6vuDmNARjmT8QAOSmPvjPpZN7PK8/edit?usp=sharing

Summary:
In general, the proposal was accepted.
![image](https://user-images.githubusercontent.com/43976834/147089470-3896e861-5fcd-4f7a-9443-fb4ba690e6a0.png)

![image](https://user-images.githubusercontent.com/43976834/147089458-54a7dbc0-2989-48ed-8817-3a5ea2bd7289.png)

  * We have agreed on overall input/output for the localization
  * We also agreed to abstract the inputs to Kalman Filter and only allow PoseWithCovariance and TwistWithCovariance
  * We will be starting without `odom` frame in Core architecture. If anyone can come up with a use case where we really need the frame, then we can have another discussion

Next Action:
 * Tier IV will be creating a draft for localization design document based on today's discussion. Any review would be welcome
 * We can further discuss about actual node level implementation that we would be expecting to have during Bus ODD offline using this thread.

The summary is just from the people who participated to the meeting, and if there are any people who weren't able to attend, feel free to comment your concerns or proposals in this thread."
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AIFQu,xczhanjun,How about add an end 2 end AI module together with the Kalman Filter to test data-driven path?
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AI3TZ,xmfcx,"@xczhanjun As long as it can replicate the inputs and outputs of these specified modules, any module can be replaced partly or as a whole.

We are discussing what the inputs and outputs of these modules should be here."
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AIdYt,maxime-clem,"I would like to propose an additional feature: localization always produces an estimate of the current acceleration.

**Motivation**
In the current architecture, modules have to calculate the acceleration using the change of twist over time. Even if a sensor provides more accurate values they cannot be used without breaking the separation between hardware and software.

**Possible Implementation**
Localization uses acceleration information from sensors (e.g., IMU) if available. Otherwise localization estimates the acceleration using the change in twist over time."
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AIdts,mitsudome-r,@YamatoAndo Do you have any opinion on this?
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AId00,YamatoAndo,"I agree with this propose.
Currently, the acceleration is calculated in each planning module as shown in the code below, but I also think the localization module should produce it.

https://github.com/autowarefoundation/autoware.universe/blob/tier4/proposal/planning/behavior_velocity_planner/include/behavior_velocity_planner/planner_data.hpp#L152-L182
https://github.com/autowarefoundation/autoware.universe/blob/tier4/proposal/planning/behavior_velocity_planner/src/node.cpp#L126-L127"
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AIeE2,brkay54,"I agree with @YamatoAndo but also we should change the acceleration data on all modules. I plotted the estimated acceleration of trajectory follower node as you can see below. 

![image](https://user-images.githubusercontent.com/45468306/154946640-55b97dce-9fca-4976-a496-a9a166b8bf70.png)

Estimated acceleration is not reliable I think, 9-10 m/s^2 acceleration is not possible in AVP Demo. If localization module will produce the measured acceleration as an option, I think all modules should use that data. 
"
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AIjRz,YamatoAndo,"In the current architecture, the localization module outputs the Odometry type.
If we add the acceleration to the output, which one do you think would be best for the output?

1. Pose, Twist and Accel are combined into one data type.
- User-defined message type consisting of std_msgs/Header, geometry_msgs/PoseWithCovariance, geometry_msgs/TwistWithCovariance and geometry_msgs/AccelWithCovariance

2. Pose and Twist are output as Odometry type, and Accel is output separately.
- nav_msgs/Odometry
- geometry_msgs/AccelWithCovarianceStamped

3. Pose, Twist and Accel are output separately.
- geometry_msgs/PoseWithCovarianceStamped
- geometry_msgs/TwistWithCovarianceStamped
- geometry_msgs/AccelWithCovarianceStamped
"
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AIlHy,maxime-clem,I like both options 1 and 2. I think if few nodes use the acceleration information then option 2 is probably better.  
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AIldt,YamatoAndo,Option 3 seems to be popular in Tier IV.
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AIlkA,maxime-clem,"I do not have a strong opinion.
What I liked about option 2 was that only nodes that need acceleration would subscribe to the corresponding topic, making it clear which node uses the acceleration data.
Option 3 actually has the same advantage so this is also fine."
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AI3UN,xmfcx,"@maxime-clem @YamatoAndo I also support option 3. And mark all 3 with same timestamps. And use [exact_time policy](https://github.com/ros2/message_filters/blob/galactic/include/message_filters/sync_policies/exact_time.h) for near latency-less communication of these messages.

They should all be together or they will feel disorganized and confuse people."
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AKz4H,xmfcx,In https://github.com/autowarefoundation/autoware_msgs/pull/16 I've went with the option 1 to keep things simple.
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AK8sr,meliketanrikulu,"Hello, do you plan to include gnss data in ekf? I think GNSS is an important source of localization. Any progress on this? We talked about this issue. -->https://github.com/autowarefoundation/autoware.universe/issues/800#issuecomment-1124899422"
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AK8zc,YamatoAndo,"@kminoda is working on supporting multi input pose in EKF, starting this week.
If his work is done, we can add gnss data to the estimation as well."
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AK80H,kminoda,"Thanks for your interest! Yes, I am currently working on multiple sensor inputs into the ekf_localizer package, which is targeted for the configurations like follows:

- IMU+odometry, and NDT
- IMU+odometry, GNSS, and NDT
- IMU+odometry, GNSS doppler, GNSS, and NDT

In the proposal, ekf_localizer will subscribe to `/localization/pose_estimator/pose_with_covariance` and `/localization/twist_estimator/twist_with_covariance`. If you want to use both NDT and GNSS for the pose information source, you need to put both information into `/localization/pose_estimator/pose_with_covariance`.

Here is the PR (draft): https://github.com/autowarefoundation/autoware.universe/pull/1027

(As the module is responsible for the final output of localization results, it may take some time for performance validation.)
"
Localization Architecture Design,D_kwDOAnasMc4AP640,2021-12-22T10:22:48Z,mitsudome-r,4,Answered,DC_kwDOAnasMc4AK9RT,meliketanrikulu,Thanks for your work. @kminoda 
Sensing/Perception Architecture Design,D_kwDOAnasMc4AP648,2021-12-23T10:33:10Z,mitsudome-r,2,Answered,,,
Sensing/Perception Architecture Design,D_kwDOAnasMc4AP648,2021-12-23T10:33:10Z,mitsudome-r,2,Answered,DC_kwDOAnasMc4AHG2V,mitsudome-r,"Here's the meeting minutes from today's discussion:
https://docs.google.com/document/d/1ZobsK1qR4axNW8g9gVsQQ-YZ7BiJxZPbIX1GMtvQelg/edit?usp=sharing

## Summary
**Sensing**
* We are moving forward with current design made by Fatih in [here](https://gitlab.com/autowarefoundation/autoware.auto/AutowareAuto/-/issues/1421). 
* we are still flexible with additional sensors (e.g. ultrasonic, 2D LiDAR, etc)
![image](https://user-images.githubusercontent.com/43976834/147235673-4a6fa0c8-940b-4b00-b09d-8779ff51ca27.png)

**Perception**
![image](https://user-images.githubusercontent.com/43976834/147235748-b4113ce9-6c6a-420b-84fa-607e2ecb9c58.png)

* We have decided add Untracked object as output of perception stack. However, the output format and how it is provided needs further discussion
* We have decided to move fusion out of tracking to make it more flexible to different sensor configuration.
![image](https://user-images.githubusercontent.com/43976834/147236006-e18904cc-864d-4133-9e5e-71b38df7b0cd.png)


I would like to use this thread to discuss further about untracked objects and traffic light recognition, so any comments or proposal are welcome."
Sensing/Perception Architecture Design,D_kwDOAnasMc4AP648,2021-12-23T10:33:10Z,mitsudome-r,2,Answered,DC_kwDOAnasMc4AHG2i,alexandrx,"One comment regarding sensing part is about LiDAR pointcloud filtering. 
The text we analyzed during today's call, the pointcloud preprocessor (page 3) says ""ring_outlier_filter"". While I guess this was intended as an example, there are plenty of LiDARs which do not have ""rings"" (multiple beams + mechanical 360° rotation); some examples are: Livox Horizon, RoboSense RS-LiDAR-M, Baraja, etc. Say, one potential deployment could use a bunch of Livox around the car and not use a 360° LiDAR on top.

Therefore, the architecture should adopt a ""wording"" which does not necessary limit the technology of LiDARs to use.  "
Sensing/Perception Architecture Design,D_kwDOAnasMc4AP648,2021-12-23T10:33:10Z,mitsudome-r,2,Answered,DC_kwDOAnasMc4AJHAR,xmfcx,"@alexandrx do you have any suggestions on this one?

What should we use instead of **ring**?

`x_outlier_filter`

**Potential candidates:**
- channel
- beam
- line
- row
- scan_line
- scan_id
- laser_id
- laser_channel"
Sensing/Perception Architecture Design,D_kwDOAnasMc4AP648,2021-12-23T10:33:10Z,mitsudome-r,2,Answered,DC_kwDOAnasMc4AJHDX,xmfcx,"I think **laser_id** represents the field best since it is about continuous readings from a single laser.

But **id** tends to be ambiguous sometimes. Although it is long, maybe we should call it **laser_channel**."
Sensing/Perception Architecture Design,D_kwDOAnasMc4AP648,2021-12-23T10:33:10Z,mitsudome-r,2,Answered,DC_kwDOAnasMc4AJHEK,xmfcx,"From Velodyne VLS-128 datasheet:
> A **laser channel** is a single 903 nm laser emitter and detector pair. 
> Each **laser channel** is fixed at a particular elevation angle relative to the horizontal plane of the sensor. 
> Each **laser channel** is given its own **Laser ID** number. 
> Since the elevation angle of a particular **laser channel** doesn't change, it doesn't appear in data packets. Its value is inferred by a data point's location in a data packet."
Sensing/Perception Architecture Design,D_kwDOAnasMc4AP648,2021-12-23T10:33:10Z,mitsudome-r,2,Answered,DC_kwDOAnasMc4AJHFT,xmfcx,"From [Livox Horizon Point Cloud Characteristics Page](https://www.livoxtech.com/3296f540ecf5458a8829e01cf429798e/downloads/Point%20cloud%20characteristics.pdf)

> In Fig. 3 you can see the FOV coverage of other (non-Livox) LiDAR sensors that use common mechanical scanning
methods. For these sensors, the number of **laser lines** and vertical FOV are 64-**lines**-27°, 32-**lines**-41°, and 16-**lines**-30°."
Sensing/Perception Architecture Design,D_kwDOAnasMc4AP648,2021-12-23T10:33:10Z,mitsudome-r,2,Answered,DC_kwDOAnasMc4AJHHe,yukkysaito,"If it is closed to the sensing component, the ring information may or may not be required.
Since the PointCloud2 type can freely define fields, it is not necessary to define even the inner fields as an interface within the sensing component.

I think it is better to remove the ring information in the output of the sensing component.

Proposed pointcloud fields of output of the sensing component
- x
- y
- z
- intensity (optional)"
